id,school,location,date,description,L1,L2,clearance,actions,notes
5434,Jackson Middle School,Custodial Bathroom/basement ,12/21/01,Sink faucet for washing ,0,0,,,
5435,Jackson Middle School,Custodial Closet Near Office ,12/21/01,Sink faucet for washing ,31,0,,,
5436,Jackson Middle School,Custodial Closet Near Rm 135 ,12/21/01,Sink faucet for washing ,140,0.2,,,
5437,Jackson Middle School,Custodial Closet/basement ,12/21/01,Sink faucet for washing ,5,0,,,
5438,Jackson Middle School,Custodial Closet/Kitchen ,12/21/01,Sink faucet for washing ,0,0.1,,,
5439,Jackson Middle School,Custodial Hardsink/basement ,12/21/01,Sink faucet for washing ,2,0.1,,,
5440,Jackson Middle School,Dish Washing Room ,12/21/01,Sink faucet for washing ,0,0,,,
5441,Jackson Middle School,Faculty Men Near Office ,12/21/01,Sink faucet for washing ,0,0,,,
5442,Jackson Middle School,Faculty Near 147 ,12/21/01,Sink faucet for washing ,2,0,,,
5443,Jackson Middle School,Faculty Women Near Office ,12/21/01,Sink faucet for washing ,30,0,,,
5444,Jackson Middle School,Girls Bath Near Auditorium R-L (1) ,12/21/01,Sink faucet for washing ,1,0,,,
5445,Jackson Middle School,Girls Bath Near Auditorium R-L (2) ,12/21/01,Sink faucet for washing ,2,0,,,
5446,Jackson Middle School,Girls Bath Near Auditorium R-L (3) ,12/21/01,Sink faucet for washing ,0,0,,,
5447,Jackson Middle School,Girls Bath Near Auditorium R-L (4) ,12/21/01,Sink faucet for washing ,2,0,,,
5448,Jackson Middle School,Girls Bath Near Office L-R ,12/21/01,Sink faucet for washing ,10,0,,,
5449,Jackson Middle School,Girls Bath Near Office L-R ,12/21/01,Sink faucet for washing ,5,0,,,
5450,Jackson Middle School,Girls Bath Near Office L-R ,12/21/01,Sink faucet for washing ,6,0,,,
5451,Jackson Middle School,In Stage Craft Near Rm 128 ,12/21/01,Sink faucet for washing ,3,0,,,
5452,Jackson Middle School,Kitchen (L)Clockwise East (1) ,12/21/01,Sink faucet for washing ,11,0,,,
5453,Jackson Middle School,Kitchen Clockwise(2) ,12/21/01,Sink faucet for washing ,0,0,,,
5454,Jackson Middle School,Kitchen Clockwise(3) ,12/21/01,Sink faucet for washing ,0,0,,,
5455,Jackson Middle School,Kitchen Clockwise(4) ,12/21/01,Sink faucet for washing ,1,0,,,
5456,Jackson Middle School,Kitchen Clockwise(5) ,12/21/01,Sink faucet for washing ,21,0,,,
5457,Jackson Middle School,Kitchen Clockwise(6) ,12/21/01,Sink faucet for washing ,3,0,,,
5458,Jackson Middle School,Kitchen ClockwiseÃ_Ã‚ ,12/21/01,Sink faucet for washing ,3,0,,,
5459,Jackson Middle School,Mens Faculty ,12/21/01,Sink faucet for washing ,2,0,,,
5460,Jackson Middle School,Nurses Office ,12/21/01,Sink faucet for washing ,8,0,,,
5461,Jackson Middle School,Sink In Main Office ,12/21/01,Sink faucet for washing ,3,0,,,
5462,Jackson Middle School,116 Dual Handles (East Wall) ,12/28/01,Sink faucet for washing ,14,0,,,
5463,Jackson Middle School,116 Dual Handles (SE Corner) ,12/28/01,Sink faucet for washing ,19,0,,,
5464,Jackson Middle School,116 Dual Handles (SW Corner) ,12/28/01,Sink faucet for washing ,6,0,,,
5465,Jackson Middle School,116 SE Corner FAUCET OFF ,12/28/01,Sink faucet for washing,NULL,0,,,
5466,Jackson Middle School,116 SW Corner ,12/28/01,Sink faucet for washing ,4,0,,,
5467,Jackson Middle School,117  (C) ,12/28/01,Sink faucet for washing ,98,0,,,
5468,Jackson Middle School,117  Ã_Ã‚ ,12/28/01,Sink faucet for washing ,19,0,,,
5469,Jackson Middle School,117 Dual Handles(C) West Wall ,12/28/01,Sink faucet for washing ,878,0,,,
5470,Jackson Middle School,117 Dual Handles  (R) West Wall ,12/28/01,Sink faucet for washing ,69,0,,,
5471,Jackson Middle School,117 Dual Handles (L) West Wall ,12/28/01,Sink faucet for washing ,6,0,,,
5472,Jackson Middle School,117 North Wall ,12/28/01,Sink faucet for washing ,205,0,,,
5473,Jackson Middle School,117 North Wall ,12/28/01,Sink faucet for washing ,184,0,,,
5474,Jackson Middle School,117 West (L) ,12/28/01,Sink faucet for washing ,22,0,,,
5475,Jackson Middle School,Boys (C) 2nd West ,12/28/01,Sink faucet for washing ,8,0,,,
5476,Jackson Middle School,Boys (L) 2nd East ,12/28/01,Sink faucet for washing ,10,0,,,
5477,Jackson Middle School,Boys (L) 2nd West ,12/28/01,Sink faucet for washing ,26,0,,,
5478,Jackson Middle School,Boys (R) ,12/28/01,Sink faucet for washing ,12,0,,,
5479,Jackson Middle School,Boys (R) 2nd West FAUCET OFF ,12/28/01,Sink faucet for washing,NULL,0,,,
5480,Jackson Middle School,Boys Ã_Â© ,12/28/01,Sink faucet for washing ,9,0,,,
5481,Jackson Middle School,Boys Locker Room (L) ,12/28/01,Sink faucet for washing ,22,0,,,
5482,Jackson Middle School,Boys Locker Room Ã_Ã‚ ,12/28/01,Sink faucet for washing ,4,0,,,
5483,Jackson Middle School,Boys Locker Room Office ,12/28/01,Sink faucet for washing ,9,0,,,
5484,Jackson Middle School,Boys Near 117 (Center R) ,12/28/01,Sink faucet for washing ,19,0,,,
5485,Jackson Middle School,Boys Near 117 (center) ,12/28/01,Sink faucet for washing ,4,0,,,
5486,Jackson Middle School,Boys Near 117 (L) ,12/28/01,Sink faucet for washing ,9,0,,,
5487,Jackson Middle School,Boys Near 117 Ã_Ã‚ FAUCET OFF ,12/28/01,Sink faucet for washing,NULL,0,,,
5488,Jackson Middle School,Boys Near Snack Bar (Center L) ,12/28/01,Sink faucet for washing ,18,0,,,
5489,Jackson Middle School,Boys Near Snack Bar (Center R) ,12/28/01,Sink faucet for washing ,16,0,,,
5490,Jackson Middle School,Boys Near Snack Bar (L) ,12/28/01,Sink faucet for washing ,21,0,,,
5491,Jackson Middle School,Boys Near Snack Bar Ã_Ã‚ FAUCET OFF ,12/28/01,Sink faucet for washing,NULL,0,,,
5492,Jackson Middle School,Center Bath in Greenhouse ,12/28/01,Sink faucet for washing ,115,0,,,
5493,Jackson Middle School,Custodial Closet ,12/28/01,Sink faucet for washing ,29,0,,,
5494,Jackson Middle School,Custodial Closet ,12/28/01,Sink faucet for washing ,11,0,,,
5495,Jackson Middle School,Custodial Closet Near 129 ,12/28/01,Sink faucet for washing ,31,0,,,
5496,Jackson Middle School,Custodial Closet Near Snack Bar ,12/28/01,Sink faucet for washing ,12,0,,,
5497,Jackson Middle School,Faculty 241 FAUCET OFF ,12/28/01,Sink faucet for washing,NULL,0,,,
5498,Jackson Middle School,G105 Instructoral Materials ,12/28/01,Sink faucet for washing ,30,0.1,,,
5499,Jackson Middle School,G130 Ã_Ã‚ on East Wall ,12/28/01,Sink faucet for washing ,43,0,,,
5500,Jackson Middle School,G130 L-R From West Wall (1) ,12/28/01,Sink faucet for washing ,11,0,,,
5501,Jackson Middle School,G130 L-R From West Wall (10) ,12/28/01,Sink faucet for washing ,37,0.2,,,
5502,Jackson Middle School,G130 L-R From West Wall (11) ,12/28/01,Sink faucet for washing ,30,0.1,,,
5503,Jackson Middle School,G130 L-R From West Wall (12) ,12/28/01,Sink faucet for washing ,29,0.1,,,
5504,Jackson Middle School,G130 L-R From West Wall (13) ,12/28/01,Sink faucet for washing ,21,0.1,,,
5505,Jackson Middle School,G130 L-R From West Wall (14) ,12/28/01,Sink faucet for washing ,168,0.2,,,
5506,Jackson Middle School,G130 L-R From West Wall (15) ,12/28/01,Sink faucet for washing ,146,0.2,,,
5507,Jackson Middle School,G130 L-R From West Wall (16) ,12/28/01,Sink faucet for washing ,92,0.1,,,
5508,Jackson Middle School,G130 L-R From West Wall (17) ,12/28/01,Sink faucet for washing ,85,0.1,,,
5509,Jackson Middle School,G130 L-R From West Wall (18) ,12/28/01,Sink faucet for washing ,33,0,,,
5510,Jackson Middle School,G130 L-R From West Wall (19) ,12/28/01,Sink faucet for washing ,40,0,,,
5511,Jackson Middle School,G130 L-R From West Wall (2) ,12/28/01,Sink faucet for washing ,54,0.4,,,
5512,Jackson Middle School,G130 L-R From West Wall (20) ,12/28/01,Sink faucet for washing ,44,0,,,
5513,Jackson Middle School,G130 L-R From West Wall (3) ,12/28/01,Sink faucet for washing ,116,0.6,,,
5514,Jackson Middle School,G130 L-R From West Wall (4) ,12/28/01,Sink faucet for washing ,359,0.4,,,
5515,Jackson Middle School,G130 L-R From West Wall (5) ,12/28/01,Sink faucet for washing ,91,0.4,,,
5516,Jackson Middle School,G130 L-R From West Wall (6) ,12/28/01,Sink faucet for washing ,152,0.4,,,
5517,Jackson Middle School,G130 L-R From West Wall (7) ,12/28/01,Sink faucet for washing ,72,0.4,,,
5518,Jackson Middle School,G130 L-R From West Wall (8) ,12/28/01,Sink faucet for washing ,123,0.4,,,
5519,Jackson Middle School,G130 L-R From West Wall (9) ,12/28/01,Sink faucet for washing ,52,0.3,,,
5520,Jackson Middle School,G220 ,12/28/01,Sink faucet for washing ,4,0,,,
5521,Jackson Middle School,Girls (L) ,12/28/01,Sink faucet for washing ,10,0,,,
5522,Jackson Middle School,Girls (L) ,12/28/01,Sink faucet for washing ,5,0.1,,,
5523,Jackson Middle School,Girls Ã_Â© ,12/28/01,Sink faucet for washing ,7,0.1,,,
5524,Jackson Middle School,Girls Ã_Â© ,12/28/01,Sink faucet for washing ,12,0.1,,,
5525,Jackson Middle School,Girls Ã_Ã‚ ,12/28/01,Sink faucet for washing ,10,0.1,,,
5526,Jackson Middle School,Girls Ã_Ã‚ ,12/28/01,Sink faucet for washing ,28,0,,,
5527,Jackson Middle School,Girls Locker Room (L) ,12/28/01,Sink faucet for washing ,6,0,,,
5528,Jackson Middle School,Girls Locker Room Ã_Â© ,12/28/01,Sink faucet for washing ,34,0,,,
5529,Jackson Middle School,Girls Locker Room Ã_Ã‚ ,12/28/01,Sink faucet for washing ,44,0,,,
5530,Jackson Middle School,Girls Near 117 (center) ,12/28/01,Sink faucet for washing ,17,0,,,
5531,Jackson Middle School,Girls Near 117 (L) ,12/28/01,Sink faucet for washing ,7,0,,,
5532,Jackson Middle School,Girls Near 117 (right) ,12/28/01,Sink faucet for washing ,7,0,,,
5533,Jackson Middle School,Girls Near Snack Bar  (Center L) ,12/28/01,Sink faucet for washing ,23,0,,,
5534,Jackson Middle School,Girls Near Snack Bar  (Center R) ,12/28/01,Sink faucet for washing ,23,0,,,
5535,Jackson Middle School,Girls Near Snack Bar  (L) ,12/28/01,Sink faucet for washing ,14,0,,,
5536,Jackson Middle School,Girls Near Snack Bar  (R) ,12/28/01,Sink faucet for washing ,15,0,,,
5537,Jackson Middle School,Greenhouse Handsink Near 116 ,12/28/01,Sink faucet for washing ,29,0,,,
5538,Jackson Middle School,Head Office ,12/28/01,Sink faucet for washing ,20,0,,,
5539,Jackson Middle School,Long bath in Greenhouse (Far L) ,12/28/01,Sink faucet for washing ,36,0,,,
5540,Jackson Middle School,Long bath in Greenhouse (Far R) ,12/28/01,Sink faucet for washing ,98,0,,,
5541,Jackson Middle School,Long bath in Greenhouse (L) ,12/28/01,Sink faucet for washing ,16,0,,,
5542,Jackson Middle School,Long bath in Greenhouse (R) ,12/28/01,Sink faucet for washing ,43,0,,,
5543,Jackson Middle School,Mens ,12/28/01,Sink faucet for washing ,16,0,,,
5544,Jackson Middle School,Mens Faculty ,12/28/01,Sink faucet for washing ,7,0,,,
5545,Jackson Middle School,Snack Bar Near Cafâ€™Â© ,12/28/01,Sink faucet for washing ,218,0,,,
5546,Jackson Middle School,Women ,12/28/01,Sink faucet for washing ,9,0,,,
5547,Jackson Middle School,Women Faculty ,12/28/01,Sink faucet for washing ,14,0,,,
5548,Jackson Middle School,C125 ,2/13/02,Central single bubbler ,0,0,,,
5549,Jackson Middle School,Upper floor near custodian G3 ,2/13/02,Central single bubbler ,0,0,,,
5550,James John Elementary School,Across from Balcony ,8/23/01,Central Double Bubbler ,37,44,,,
5551,James John Elementary School,Across from Room 13 ,8/23/01,Elkay Single Bubbler ,40,19,,,
5552,James John Elementary School,Across From Room 28 ,8/23/01,Central Double Bubbler ,13,0,,,
5553,James John Elementary School,Across from Room 3 ,8/23/01,Central Single Bubbler ,49,45,,,
5554,James John Elementary School,Boiler Room ,8/23/01,Service Connection ,0,0,,,
5555,James John Elementary School,Cafeteria ,8/23/01,Central Double Bubbler ,18,4,,,
5556,James John Elementary School,Gymnasium ,8/23/01,Central In-Wall ,35,41,,,
5557,James John Elementary School,Hall near Room 20 ,8/23/01,Haws single bubbler ,38,9,,,
5558,James John Elementary School,Kitchen ,8/23/01,Sink for drinking ,56,3,,,
5559,James John Elementary School,Near Room 31 ,8/23/01,Elkay Single Bubbler ,12,4,,,
5560,James John Elementary School,Near Room 41 ,8/23/01,Central Double Bubbler ,62,5,,,
5561,James John Elementary School,Near Room 8 ,8/23/01,Central Double Bubbler ,15,17,,,
5562,James John Elementary School,Outside Auditorium ,8/23/01,Haws single bubbler ,40,27,,,
5563,James John Elementary School,Room 19 ,8/23/01,Haws single bubbler ,54,11,,,
5564,James John Elementary School,Room 20 ,8/23/01,Chicago Sink Drinker ,30,7,,,
5565,James John Elementary School,Room 21 ,8/23/01,Chicago Sink Drinker ,15,17,,,
5566,James John Elementary School,Room 28 ,8/23/01,Chicago Sink Drinker ,11,10,,,
5567,James John Elementary School,Room 29 ,8/23/01,Chicago Sink Drinker ,4,0,,,
5568,James John Elementary School,Room 30 ,8/23/01,Chicago Sink Drinker ,8,1,,,
5569,James John Elementary School,Room 36 ,8/23/01,Kohler Ceramic Bubbler ,34,10,,,
5570,James John Elementary School,Room 37 ,8/23/01,Chicago Sink Drinker ,18,8,,,
5571,James John Elementary School,Room 38 ,8/23/01,Chicago Sink Drinker ,22,8,,,
5572,James John Elementary School,Room 39 ,8/23/01,Chicago Sink Drinker ,8,1,,,
5573,James John Elementary School,Room 40 ,8/23/01,Chicago Sink Drinker ,17,3,,,
5574,James John Elementary School,Across from Balcony ,12/20/01,Elkay double bubbler ,15,0,,,
5575,James John Elementary School,Across from Room 13 ,12/20/01,Elkay Single Bubbler ,0,0,,,
5576,James John Elementary School,Across from Room 3 ,12/20/01,Elkay double bubbler ,0,0,,,
5577,James John Elementary School,Cafeteria ,12/20/01,Elkay double bubbler ,0,0,,,
5578,James John Elementary School,Gymnasium ,12/20/01,Elkay in wall ,0,0,,,
5579,James John Elementary School,Hall near room 20 ,12/20/01,Elkay Single Bubbler ,25,11,,,
5580,James John Elementary School,Kitchen (left)- no filter ,12/20/01,Sink for drinking ,6,0,,,
5581,James John Elementary School,Near Room 41 ,12/20/01,Elkay double bubbler ,6,0,,,
5582,James John Elementary School,Near Room 8 ,12/20/01,Elkay double bubbler ,5,0,,,
5583,James John Elementary School,Outside Auditorium ,12/20/01,Elkay Single Bubbler ,0,0,,,
5584,James John Elementary School,Room 19 ,12/20/01,Elkay Single Bubbler ,29,0,,,
5585,James John Elementary School,Room 20 ,12/20/01,Elkay sink drinker ,0,0,,,
5586,James John Elementary School,Room 21 ,12/20/01,Elkay sink drinker ,15,0,,,
5587,James John Elementary School,Room 28 ,12/20/01,Elkay sink drinker ,NULL,0,,,
5588,James John Elementary School,Room 36 ,12/20/01,Elkay ceramic bubbler ,21,0,,,
5589,James John Elementary School,Room 37 ,12/20/01,Elkay sink drinker ,0,0,,,
5590,James John Elementary School,Room 38 ,12/20/01,Elkay sink drinker ,5,0,,,
5591,James John Elementary School,Room 40 ,12/20/01,Elkay sink drinker ,11,0,,,
5592,James John Elementary School,,12/22/01,Sink faucet for washing ,7,0,,,
5593,James John Elementary School,,12/22/01,Sink faucet for washing ,6,0,,,
5594,James John Elementary School,,12/22/01,Sink faucet for washing ,17,0,,,
5595,James John Elementary School,,12/22/01,Sink faucet for washing ,9,0,,,
5596,James John Elementary School,,12/22/01,Sink faucet for washing ,8,0,,,
5597,James John Elementary School,,12/22/01,Sink faucet for washing ,51,0,,,
5598,James John Elementary School,,12/22/01,Sink faucet for washing ,0,0,,,
5599,James John Elementary School,,12/22/01,Sink faucet for washing ,14,0,,,
5600,James John Elementary School,,12/22/01,Sink faucet for washing ,28,0,,,
5601,James John Elementary School,,12/22/01,Sink faucet for washing ,0,0,,,
5602,James John Elementary School,,12/22/01,Sink faucet for washing ,8,0,,,
5603,James John Elementary School,,12/22/01,Sink faucet for washing ,13,0,,,
5604,James John Elementary School,,12/22/01,Sink faucet for washing ,9,0,,,
5605,James John Elementary School,,12/22/01,Sink faucet for washing ,10,0,,,
5606,James John Elementary School,Boiler Room ,12/22/01,Sink faucet for washing ,0,0,,,
5607,James John Elementary School,Boys Restroom Near Room 13 (1) ,12/22/01,Sink faucet for washing ,8,0,,,
5608,James John Elementary School,Boys Restroom Near Room 13(2) ,12/22/01,Sink faucet for washing ,7,0,,,
5609,James John Elementary School,Boys Restroom Near Room 20 (1) ,12/22/01,Sink faucet for washing ,0,0,,,
5610,James John Elementary School,Boys Restroom Near Room 20 (2) ,12/22/01,Sink faucet for washing ,0,0,,,
5611,James John Elementary School,Boys Restroom Portlable ,12/22/01,Sink faucet for washing ,12,0,,,
5612,James John Elementary School,Boys Restroom(1) ,12/22/01,Sink faucet for washing ,8,0,,,
5613,James John Elementary School,Boys Restroom(2) ,12/22/01,Sink faucet for washing ,8,0,,,
5614,James John Elementary School,Coaches Office ,12/22/01,Sink faucet for washing ,21,0,,,
5615,James John Elementary School,Faculty Restroom ,12/22/01,Sink faucet for washing ,7,0,,,
5616,James John Elementary School,Girls Restroom Near Room 13 (1) ,12/22/01,Sink faucet for washing ,9,0,,,
5617,James John Elementary School,Girls Restroom Near Room 20 (1) ,12/22/01,Sink faucet for washing ,0,0,,,
5618,James John Elementary School,Girls Restroom Near Room 20 (2) ,12/22/01,Sink faucet for washing ,0,0,,,
5619,James John Elementary School,Girls Restroom(1) ,12/22/01,Sink faucet for washing ,8,0,,,
5620,James John Elementary School,Girls Restroom(2) ,12/22/01,Sink faucet for washing ,0,0,,,
5621,James John Elementary School,Kitchen ,12/22/01,Wash Sink ,8,0,,,
5622,James John Elementary School,Kitchen Restroom ,12/22/01,Sink faucet for washing ,25,0,,,
5623,James John Elementary School,Library ,12/22/01,Sink faucet for washing ,12,0,,,
5624,James John Elementary School,Nurses Office ,12/22/01,Sink faucet for washing ,0,0,,,
5625,James John Elementary School,Office Restroom ,12/22/01,Sink faucet for washing ,15,0,,,
5626,James John Elementary School,Room 19 ,12/22/01,Sink faucet for washing ,37,0,,,
5627,James John Elementary School,Room 20 ,12/22/01,Sink faucet for washing ,38,0,,,
5628,James John Elementary School,Room 21 ,12/22/01,Sink faucet for washing ,8,0,,,
5629,James John Elementary School,Room 22 ,12/22/01,Sink faucet for washing ,13,0,,,
5630,James John Elementary School,Room 24 ,12/22/01,Sink faucet for washing ,5,0,,,
5631,James John Elementary School,Room 28 ,12/22/01,Sink faucet for washing ,6,0,,,
5632,James John Elementary School,Room 29 ,12/22/01,Sink faucet for washing ,0,0,,,
5633,James John Elementary School,Room 30 ,12/22/01,Sink faucet for washing ,0,0,,,
5634,James John Elementary School,Room 31 ,12/22/01,Sink faucet for washing ,0,0,,,
5635,James John Elementary School,Room 34 ,12/22/01,Sink faucet for washing ,82,0,,,
5636,James John Elementary School,Room 36 ,12/22/01,Sink faucet for washing ,26,0,,,
5637,James John Elementary School,Room 42 ,12/22/01,Sink faucet for washing ,17,0,,,
5638,James John Elementary School,Teacher Workroom 1st Floor ,12/22/01,Sink faucet for washing ,14,0,,,
5639,James John Elementary School,Across from Balcony ,1/4/02,Elkay Single Bubbler ,7,0,,,
5640,James John Elementary School,Hall near room 20 ,1/4/02,Elkay Single Bubbler ,0,0,,,
5641,James John Elementary School,Room 19 ,1/4/02,Elkay Single Bubbler ,0,0,,,
5642,James John Elementary School,Room 21 ,1/4/02,Elkay Single Bubbler ,0,0,,,
5643,James John Elementary School,Room 36 ,1/4/02,Elkay Single Bubbler ,0,0,,,
5644,Jefferson High School,Boiler Room ,7/31/01,Service Connection ,1,0,,,
5645,Jefferson High School,Cafeteria ,7/31/01,Elkay Single Bubbler ,14,26,,,
5646,Jefferson High School,E. Main Hallway Floor C ,7/31/01,Unknown Single Bubbler ,5,0,,,
5647,Jefferson High School,Girls Gym Floor B ,7/31/01,Haws-Berkley single bubbler ,10,1,,,
5648,Jefferson High School,Kitchen ,7/31/01,Sink for drinking ,22,1,,,
5649,Jefferson High School,N. Hall Floor B ,7/31/01,Central Double Bubbler ,6,3,,,
5650,Jefferson High School,N. Hallway Floor A ,7/31/01,Unknown Single Bubbler ,12,6,,,
5651,Jefferson High School,W. Main Hallway Floor C ,7/31/01,Elkay Single Bubbler ,4,3,,,
5652,Jefferson High School,Near Room A-6 ,9/15/01,Elkay Single Bubbler ,25,8,,,
5653,Jefferson High School,Cafeteria ,9/27/01,Elkay single bubbler ,0,6,,,
5654,Jefferson High School,Kitchen ,9/27/01,Sink for drinking ,0,0,,,
5655,Jefferson High School,Near Room A-6 ,9/27/01,Elkay single bubbler ,0,8,,,
5656,Jefferson High School,A-10 BackWall - left ,12/28/01,Sink faucet for washing ,21,0,,,
5657,Jefferson High School,A-10 BackWall - right ,12/28/01,Sink faucet for washing ,667,0,,,
5658,Jefferson High School,A-10 Left 2 ,12/28/01,Sink faucet for washing ,77,0,,,
5659,Jefferson High School,A-10 Left 3 ,12/28/01,Sink faucet for washing ,43,0,,,
5660,Jefferson High School,A-10 Left 4 ,12/28/01,Sink faucet for washing ,102,0,,,
5661,Jefferson High School,A-10 Left After Entrance ,12/28/01,Sink faucet for washing ,43,0,,,
5662,Jefferson High School,A-11 BackWall - left ,12/28/01,Sink faucet for washing ,71,0,,,
5663,Jefferson High School,A-11 BackWall - right ,12/28/01,Sink faucet for washing ,19,0,,,
5664,Jefferson High School,A111 Boys Locker Room ,12/28/01,Sink faucet for washing ,0,0,,,
5665,Jefferson High School,A-2 Lab ,12/28/01,Sink faucet for washing ,18,0,,,
5666,Jefferson High School,A-2 Lab ,12/28/01,Sink faucet for washing ,0,0,,,
5667,Jefferson High School,A-2 Nurse ,12/28/01,Sink faucet for washing ,11,0,,,
5668,Jefferson High School,A-43 ,12/28/01,Sink faucet for washing ,0,0,,,
5669,Jefferson High School,A-5 Girls Restroom - center left ,12/28/01,Sink faucet for washing ,7,0,,,
5670,Jefferson High School,A-5 Girls Restroom - center right ,12/28/01,Sink faucet for washing ,0,0,,,
5671,Jefferson High School,A-5 Girls Restroom - far left ,12/28/01,Sink faucet for washing ,0,0,,,
5672,Jefferson High School,A-5 Girls Restroom - far right ,12/28/01,Sink faucet for washing ,117,0,,,
5673,Jefferson High School,A-7 - center ,12/28/01,Sink faucet for washing ,6,0,,,
5674,Jefferson High School,A-7 - left ,12/28/01,Sink faucet for washing ,335,0,,,
5675,Jefferson High School,A-7 - right ,12/28/01,Sink faucet for washing ,20,0,,,
5676,Jefferson High School,B-17 ,12/28/01,Sink faucet for washing ,6,0,,,
5677,Jefferson High School,B-27 ,12/28/01,Sink faucet for washing ,0,0,,,
5678,Jefferson High School,B-38 ,12/28/01,Sink faucet for washing ,13,0,,,
5679,Jefferson High School,B-6 Custodial ,12/28/01,Sink faucet for washing ,6,0,,,
5680,Jefferson High School,B-8 Womens Teachers ,12/28/01,Sink faucet for washing ,16,0,,,
5681,Jefferson High School,Back of Boys Locker Room ,12/28/01,Sink faucet for washing ,0,0,,,
5682,Jefferson High School,Boiler Room ,12/28/01,Sink faucet for washing ,51,0,,,
5683,Jefferson High School,Boys B-80 - center ,12/28/01,Sink faucet for washing ,0,0,,,
5684,Jefferson High School,Boys B-80 - left ,12/28/01,Sink faucet for washing ,8,0,,,
5685,Jefferson High School,Boys B-80 - right ,12/28/01,Sink faucet for washing ,13,0,,,
5686,Jefferson High School,Boys Locker Room - left ,12/28/01,Sink faucet for washing ,0,0,,,
5687,Jefferson High School,Boys Locker Room - right ,12/28/01,Sink faucet for washing ,0,0,,,
5688,Jefferson High School,Boys Near A-45 - left ,12/28/01,Sink faucet for washing ,7,0,,,
5689,Jefferson High School,Boys Near A-45 - right ,12/28/01,Sink faucet for washing,NULL,0,,,
5690,Jefferson High School,Boys Near B-17 - center ,12/28/01,Sink faucet for washing ,0,0,,,
5691,Jefferson High School,Boys Near B-17 - left ,12/28/01,Sink faucet for washing ,9,0,,,
5692,Jefferson High School,Boys Near B-17 - right ,12/28/01,Sink faucet for washing ,0,0,,,
5693,Jefferson High School,Boys Near B-17 -at entrance ,12/28/01,Sink faucet for washing ,8,0,,,
5694,Jefferson High School,Boys Near C-23 - far right ,12/28/01,Sink faucet for washing ,0,0,,,
5695,Jefferson High School,Boys Near D-33 - center ,12/28/01,Sink faucet for washing ,9,0,,,
5696,Jefferson High School,Boys Near D-33 - left ,12/28/01,Sink faucet for washing ,6,0,,,
5697,Jefferson High School,Boys Near Storage A-4 ,12/28/01,Sink faucet for washing ,9,0,,,
5698,Jefferson High School,Boys Restroom Outside Gym - left ,12/28/01,Sink faucet for washing ,15,0,,,
5699,Jefferson High School,Boys Restroom Outside Gym - right ,12/28/01,Sink faucet for washing ,7,0,,,
5700,Jefferson High School,C-19 ,12/28/01,Sink faucet for washing ,8,0,,,
5701,Jefferson High School,C-20 ,12/28/01,Sink faucet for washing ,0,0,,,
5702,Jefferson High School,C-22 ,12/28/01,Sink faucet for washing ,0,0,,,
5703,Jefferson High School,C-23 ,12/28/01,Sink faucet for washing ,11,0,,,
5704,Jefferson High School,C-36 Custodial ,12/28/01,Sink faucet for washing ,10,0,,,
5705,Jefferson High School,C-5 Custodial ,12/28/01,Sink faucet for washing ,0,0,,,
5706,Jefferson High School,C-7 Women ,12/28/01,Sink faucet for washing ,31,0,,,
5707,Jefferson High School,Coaches Office Locker Room ,12/28/01,Sink faucet for washing ,65,0,,,
5708,Jefferson High School,Custodial A-45 ,12/28/01,Sink faucet for washing ,21,0,,,
5709,Jefferson High School,Custodial Closet in A111 Boys Locker Room,12/28/01,Sink faucet for washing ,50,0,,,
5710,Jefferson High School,Custodial Restroom A-17 ,12/28/01,Sink faucet for washing ,0,0.7,,,
5711,Jefferson High School,Custodial Storage Closet in Gym ,12/28/01,Sink faucet for washing ,8,0,,,
5712,Jefferson High School,D-1 - center ,12/28/01,Sink faucet for washing ,7,0.3,,,
5713,Jefferson High School,D-1 - left ,12/28/01,Sink faucet for washing ,0,0,,,
5714,Jefferson High School,D-1 - right ,12/28/01,Sink faucet for washing ,0,0.3,,,
5715,Jefferson High School,D-12 ,12/28/01,Sink faucet for washing ,0,0,,,
5716,Jefferson High School,D-13 BackWall ,12/28/01,Sink faucet for washing ,0,0,,,
5717,Jefferson High School,D-13 Left Corner ,12/28/01,Sink faucet for washing ,42,0,,,
5718,Jefferson High School,D-18 Corner - left ,12/28/01,Sink faucet for washing ,0,0.8,,,
5719,Jefferson High School,D-18 Corner - right ,12/28/01,Sink faucet for washing ,0,0.7,,,
5720,Jefferson High School,D-18 Left 2 ,12/28/01,Sink faucet for washing ,9,0.7,,,
5721,Jefferson High School,D-18 Left of Entrance ,12/28/01,Sink faucet for washing ,0,0.8,,,
5722,Jefferson High School,D-19 Back - center ,12/28/01,Sink faucet for washing ,0,0.7,,,
5723,Jefferson High School,D-19 Back - right ,12/28/01,Sink faucet for washing ,0,0.6,,,
5724,Jefferson High School,D-19 Corner - left ,12/28/01,Sink faucet for washing ,0,0.6,,,
5725,Jefferson High School,D-19 Left 2 of Door ,12/28/01,Sink faucet for washing ,0,0.7,,,
5726,Jefferson High School,D-19 Left 3 ,12/28/01,Sink faucet for washing ,0,0.6,,,
5727,Jefferson High School,D-21 ,12/28/01,Sink faucet for washing ,10,0,,,
5728,Jefferson High School,D-22 ,12/28/01,Sink faucet for washing ,6,0,,,
